,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
171,두부,,,,,,,,,,,,,,,,
172,당근,,,,,,,,,,,,,,,,
173,두부,방울토마토/대추형,명태참어묵,팽이버섯,,,,,,,,,,,,,
174,콩나물,,,,,,,,,,,,,,,,
175,당근,,,,,,,,,,,,,,,,
176,콩나물,당근,,,,,,,,,,,,,,,
177,찌개용두부,,,,,,,,,,,,,,,,
178,유정란/친환경,콩나물,월동무,,,,,,,,,,,,,,
179,브로컬리,,,,,,,,,,,,,,,,
180,유정란/친환경,,,,,,,,,,,,,,,,
181,오이,양배추,,,,,,,,,,,,,,,
182,오이,당근,찌개용두부,,,,,,,,,,,,,,
183,양파,누룽지,,,,,,,,,,,,,,,
184,유정란/친환경,오이,단무지,,,,,,,,,,,,,,
185,완숙토마토,명태참어묵,우유,,,,,,,,,,,,,,
186,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
187,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
188,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
189,유기농우유,찌개용두부,,,,,,,,,,,,,,,
190,쌈채소모음,우유,깻잎,,,,,,,,,,,,,,
191,콩나물,,,,,,,,,,,,,,,,
192,쌈채소모음,,,,,,,,,,,,,,,,
193,우유,,,,,,,,,,,,,,,,
194,쌈채소모음,,,,,,,,,,,,,,,,
195,콩나물,어린잎채소,,,,,,,,,,,,,,,
196,콩나물,시금치,감자라면,,,,,,,,,,,,,,
197,유기농우유,,,,,,,,,,,,,,,,
198,콩나물,양배추,,,,,,,,,,,,,,,
199,유기농우유,,,,,,,,,,,,,,,,
200,유정란/친환경,,,,,,,,,,,,,,,,
201,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
202,유기농우유,,,,,,,,,,,,,,,,
203,대파,,,,,,,,,,,,,,,,
204,콩나물,,,,,,,,,,,,,,,,
205,오이,,,,,,,,,,,,,,,,
206,유기농우유,,,,,,,,,,,,,,,,
207,두부,당근,,,,,,,,,,,,,,,
208,두부,,,,,,,,,,,,,,,,
209,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
210,우유,,,,,,,,,,,,,,,,
211,우유,,,,,,,,,,,,,,,,
212,양파,방울토마토/대추형,애호박,,,,,,,,,,,,,,
213,방울토마토/대추형,유기농우유,,,,,,,,,,,,,,,
214,유기농우유,,,,,,,,,,,,,,,,
215,우유,,,,,,,,,,,,,,,,
216,방울토마토/대추형,,,,,,,,,,,,,,,,
217,방울토마토/대추형,,,,,,,,,,,,,,,,
218,두부,,,,,,,,,,,,,,,,
219,방울토마토/대추형,,,,,,,,,,,,,,,,
220,콩국물,,,,,,,,,,,,,,,,
221,우유,,,,,,,,,,,,,,,,
222,두부,,,,,,,,,,,,,,,,
223,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
224,브로컬리,당근,,,,,,,,,,,,,,,
225,콩나물,부추,,,,,,,,,,,,,,,
226,양파,양배추,,,,,,,,,,,,,,,
227,두부,완숙토마토,,,,,,,,,,,,,,,
228,가지,,,,,,,,,,,,,,,,
229,콩국물,,,,,,,,,,,,,,,,
230,우유,,,,,,,,,,,,,,,,
231,유기농우유,,,,,,,,,,,,,,,,
232,유기농우유,,,,,,,,,,,,,,,,
233,감자라면,,,,,,,,,,,,,,,,
234,오이,,,,,,,,,,,,,,,,
