,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
164,양배추,,,,,,,,,,,,,,,,,,
165,사과/,,,,,,,,,,,,,,,,,,
166,유정란/친환경,,,,,,,,,,,,,,,,,,
167,유정란/친환경,얼갈이,,,,,,,,,,,,,,,,,
168,두부,유정란/친환경,,,,,,,,,,,,,,,,,
169,당근,,,,,,,,,,,,,,,,,,
170,사과/,찌개용두부,,,,,,,,,,,,,,,,,
171,사과/,얼갈이,,,,,,,,,,,,,,,,,
172,깻잎,,,,,,,,,,,,,,,,,,
173,상추,무,,,,,,,,,,,,,,,,,
174,애호박,참외,부추,,,,,,,,,,,,,,,,
175,완숙토마토,,,,,,,,,,,,,,,,,,
176,대파,,,,,,,,,,,,,,,,,,
177,두부,오이,,,,,,,,,,,,,,,,,
178,애호박,중파,복숭아,,,,,,,,,,,,,,,,
179,오이,가지,,,,,,,,,,,,,,,,,
180,애호박,,,,,,,,,,,,,,,,,,
181,쌈채소모음,양배추,,,,,,,,,,,,,,,,,
182,두부,유정란/친환경,양파,부추,,,,,,,,,,,,,,,
183,유정란/친환경,,,,,,,,,,,,,,,,,,
184,오이,가지,,,,,,,,,,,,,,,,,
185,유정란/친환경,,,,,,,,,,,,,,,,,,
186,딸기/,,,,,,,,,,,,,,,,,,
187,상추,대파,,,,,,,,,,,,,,,,,
188,딸기/,,,,,,,,,,,,,,,,,,
189,콩국물,오이,,,,,,,,,,,,,,,,,
190,두부,콩나물,무,,,,,,,,,,,,,,,,
191,콩나물,깻잎,,,,,,,,,,,,,,,,,
192,떡국떡,콩나물,대파,,,,,,,,,,,,,,,,
193,떡국떡,,,,,,,,,,,,,,,,,,
194,찌개용두부,,,,,,,,,,,,,,,,,,
195,찌개용두부,,,,,,,,,,,,,,,,,,
196,쌈채소모음,두유,,,,,,,,,,,,,,,,,
197,두유,,,,,,,,,,,,,,,,,,
198,당근,,,,,,,,,,,,,,,,,,
199,유기농우유,,,,,,,,,,,,,,,,,,
200,두유,,,,,,,,,,,,,,,,,,
201,찌개용두부,,,,,,,,,,,,,,,,,,
202,콩나물,,,,,,,,,,,,,,,,,,
203,완숙토마토,중파,,,,,,,,,,,,,,,,,
204,콩국물,유기농저지방우유,양배추,,,,,,,,,,,,,,,,
205,유정란/친환경,두유,,,,,,,,,,,,,,,,,
206,오이,,,,,,,,,,,,,,,,,,
207,오이,중파,,,,,,,,,,,,,,,,,
208,검은콩두유,,,,,,,,,,,,,,,,,,
209,양배추,,,,,,,,,,,,,,,,,,
210,황토숙주나물,,,,,,,,,,,,,,,,,,
211,찌개용두부,,,,,,,,,,,,,,,,,,
212,두부,,,,,,,,,,,,,,,,,,
213,콩나물,,,,,,,,,,,,,,,,,,
214,유기농저지방우유,,,,,,,,,,,,,,,,,,
215,유정란/친환경,,,,,,,,,,,,,,,,,,
216,두부,브로컬리,,,,,,,,,,,,,,,,,
217,상추,,,,,,,,,,,,,,,,,,
218,방울토마토/대추형,어린잎채소,깻잎,양배추,,,,,,,,,,,,,,,
219,유정란/친환경,사과/,부추,,,,,,,,,,,,,,,,
220,상추,브로컬리,,,,,,,,,,,,,,,,,
221,양파,상추,,,,,,,,,,,,,,,,,
222,당근,,,,,,,,,,,,,,,,,,
223,가지,,,,,,,,,,,,,,,,,,
224,콩나물,브로컬리,,,,,,,,,,,,,,,,,
225,유정란/친환경,오이,방울토마토/대추형,상추,브로컬리,당근,당근,가지,양배추,,,,,,,,,,
