,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift
9,({'두부'}),({'당근'}),0.7613999061652171,({'양파'}),({'유정란/친환경'}),0.7861401432124242,({'유정란/친환경'}),({'찌개용두부'}),0.6996785895732798,({'유정란/친환경'}),({'찌개용두부'}),0.7452314778738841,({'양파'}),({'유정란/친환경'}),0.8424653208114431
29,({'두부'}),({'유기농우유'}),0.7398579209571641,({'팽이버섯'}),({'두부'}),0.9653639657399774,({'중파'}),({'두부'}),0.8150971119596768,({'두부'}),({'동물복지유정란'}),0.8389911000105532,({'중파'}),({'두부'}),0.7487210960216449
28,({'유기농우유'}),({'두부'}),0.739857920957164,({'두부'}),({'팽이버섯'}),0.9653639657399772,({'두부'}),({'중파'}),0.8150971119596768,({'동물복지유정란'}),({'두부'}),0.8389911000105532,({'두부'}),({'중파'}),0.7487210960216449
12,({'유정란/친환경'}),({'양파'}),0.7235816067409029,({'당근'}),({'두부'}),0.8491107577067333,({'유정란/친환경'}),({'오이'}),0.7978907921371619,({'유정란/친환경'}),({'오이'}),0.7877482983747742,({'오이'}),({'두부'}),0.6807942974713879
13,({'양파'}),({'유정란/친환경'}),0.7235816067409029,({'두부'}),({'당근'}),0.8491107577067333,({'오이'}),({'유정란/친환경'}),0.797890792137162,({'오이'}),({'유정란/친환경'}),0.7877482983747742,({'두부'}),({'오이'}),0.6807942974713879
31,({'두부'}),({'연두부'}),0.6810568153924587,({'두부'}),({'유기농우유'}),0.7928428028713125,({'양파'}),({'콩나물'}),0.8494950297281206,({'유정란/친환경'}),({'브로컬리'}),0.9951573733899822,({'두부'}),({'동물복지유정란'}),0.7891079226581629
30,({'연두부'}),({'두부'}),0.6810568153924585,({'유기농우유'}),({'두부'}),0.7928428028713125,({'콩나물'}),({'양파'}),0.8494950297281206,({'브로컬리'}),({'유정란/친환경'}),0.9951573733899822,({'동물복지유정란'}),({'두부'}),0.7891079226581628
10,({'콩나물'}),({'유정란/친환경'}),0.6769676845906981,({'찌개용두부'}),({'유정란/친환경'}),0.7455439813451549,({'두부'}),({'양파'}),0.8090330320098947,({'두부'}),({'양파'}),0.8144489347902011,({'유정란/친환경'}),({'오이'}),0.7000130620775233
11,({'유정란/친환경'}),({'콩나물'}),0.6769676845906981,({'유정란/친환경'}),({'찌개용두부'}),0.7455439813451549,({'양파'}),({'두부'}),0.8090330320098947,({'양파'}),({'두부'}),0.8144489347902011,({'오이'}),({'유정란/친환경'}),0.7000130620775235
37,({'두부'}),({'찌개용두부'}),0.4750640913482385,({'양파'}),({'콩나물'}),0.7757368175696673,({'유정란/친환경'}),({'대파'}),0.8034919693296182,({'양파'}),({'콩나물'}),0.7996361827958623,({'두부'}),({'대파'}),0.9096971522784798
36,({'찌개용두부'}),({'두부'}),0.4750640913482384,({'콩나물'}),({'양파'}),0.7757368175696674,({'대파'}),({'유정란/친환경'}),0.8034919693296182,({'콩나물'}),({'양파'}),0.7996361827958623,({'대파'}),({'두부'}),0.9096971522784798
45,,,,({'팽이버섯'}),({'유정란/친환경'}),0.7357828168541559,({'두부'}),({'양배추'}),0.8216761176489955,({'시금치'}),({'유정란/친환경'}),0.842882499112531,({'두부'}),({'가지'}),0.8554305647291942
44,,,,({'유정란/친환경'}),({'팽이버섯'}),0.7357828168541559,({'양배추'}),({'두부'}),0.8216761176489954,({'유정란/친환경'}),({'시금치'}),0.842882499112531,({'가지'}),({'두부'}),0.8554305647291941
53,,,,,,,({'중파'}),({'오이'}),1.7586610669846543,({'중파'}),({'양파'}),1.4237572704922947,({'오이'}),({'가지'}),2.107817109144543
52,,,,,,,({'오이'}),({'중파'}),1.7586610669846543,({'양파'}),({'중파'}),1.4237572704922947,({'가지'}),({'오이'}),2.107817109144543
47,,,,,,,({'명태참어묵'}),({'두부'}),0.971667728483614,({'두부'}),({'양배추'}),0.7741695894367651,({'두부'}),({'브로컬리'}),0.6698314373083412
46,,,,,,,({'두부'}),({'명태참어묵'}),0.971667728483614,({'양배추'}),({'두부'}),0.7741695894367648,({'브로컬리'}),({'두부'}),0.6698314373083412
51,,,,,,,({'팽이버섯'}),({'유정란/친환경'}),0.8404206398674209,({'당근'}),({'콩나물'}),0.8814080638062055,({'유정란/친환경'}),({'대파'}),0.7502106214677692
50,,,,,,,({'유정란/친환경'}),({'팽이버섯'}),0.8404206398674209,({'콩나물'}),({'당근'}),0.8814080638062056,({'대파'}),({'유정란/친환경'}),0.7502106214677692
48,,,,,,,({'유정란/친환경'}),({'시금치'}),0.7327806086698172,({'오이'}),({'중파'}),1.620795107033639,({'두부'}),({'시금치'}),0.7680945165384515
49,,,,,,,({'시금치'}),({'유정란/친환경'}),0.7327806086698172,({'중파'}),({'오이'}),1.620795107033639,({'시금치'}),({'두부'}),0.7680945165384515
66,,,,,,,,,,({'부추'}),({'오이'}),3.0657844990548204,({'당근'}),({'오이'}),1.1411914632945732
67,,,,,,,,,,({'오이'}),({'부추'}),3.0657844990548204,({'오이'}),({'당근'}),1.1411914632945732
70,,,,,,,,,,({'가지'}),({'오이'}),2.243905915894512,({'두부'}),({'애호박'}),0.8110081561748265
71,,,,,,,,,,({'오이'}),({'가지'}),2.243905915894512,({'애호박'}),({'두부'}),0.8110081561748265
77,,,,,,,,,,({'애호박'}),({'오이'}),2.1794816877275647,,,
76,,,,,,,,,,({'오이'}),({'애호박'}),2.1794816877275647,,,
91,,,,,,,,,,({'양파'}),({'대파'}),1.578371331034601,,,
90,,,,,,,,,,({'대파'}),({'양파'}),1.578371331034601,,,
87,,,,,,,,,,({'콩나물'}),"({'유정란/친환경', '두부'})",1.2431635185655532,,,
86,,,,,,,,,,"({'유정란/친환경', '두부'})",({'콩나물'}),1.243163518565553,,,
89,,,,,,,,,,({'두부'}),"({'콩나물', '유정란/친환경'})",1.220231048699841,,,
84,,,,,,,,,,"({'콩나물', '유정란/친환경'})",({'두부'}),1.220231048699841,,,
78,,,,,,,,,,({'콩나물'}),({'대파'}),1.043016066506331,,,
79,,,,,,,,,,({'대파'}),({'콩나물'}),1.043016066506331,,,
64,,,,,,,,,,({'오이'}),({'양파'}),1.0241545893719808,({'유정란/친환경'}),({'시금치'}),0.6862041294209734
65,,,,,,,,,,({'양파'}),({'오이'}),1.0241545893719808,({'시금치'}),({'유정란/친환경'}),0.6862041294209734
88,,,,,,,,,,({'유정란/친환경'}),"({'콩나물', '두부'})",0.9709675847619842,,,
85,,,,,,,,,,"({'콩나물', '두부'})",({'유정란/친환경'}),0.970967584761984,,,
94,,,,,,,,,,({'부추'}),({'두부'}),0.960438101559907,,,
