,0,1,2,3,4,5,6,7,8,9,10,11
204,유정란/친환경,백미/유,유기농저지방우유,,,,,,,,,
205,유정란/친환경,양파,오이,상추,,,,,,,,
206,구운도시락김,,,,,,,,,,,
207,유정란/친환경,유기농저지방우유,,,,,,,,,,
208,유정란/친환경,유기농저지방우유,깐마늘/난지형/유,,,,,,,,,
209,백미/유,유기농저지방우유,,,,,,,,,,
210,딸기잼,도토리묵,,,,,,,,,,
211,두부,유정란/친환경,,,,,,,,,,
212,콩나물,애호박,유기농저지방우유,구운도시락김,,,,,,,,
213,유정란/친환경,,,,,,,,,,,
214,유기농저지방우유,도토리묵,,,,,,,,,,
215,콩나물,,,,,,,,,,,
216,유정란/친환경,유기농저지방우유,구운도시락김,,,,,,,,,
217,현미유,,,,,,,,,,,
218,두부,,,,,,,,,,,
219,연두부,,,,,,,,,,,
220,어린잎채소,쌈채소모음,,,,,,,,,,
221,두부,,,,,,,,,,,
222,두부,유정란/친환경,상추,,,,,,,,,
223,두부,,,,,,,,,,,
224,오이,,,,,,,,,,,
225,유정란/친환경,콩나물,상추,중파,,,,,,,,
226,오이,콩나물,연두부,찌개용두부,,,,,,,,
227,동물복지유정란,,,,,,,,,,,
228,콩나물,,,,,,,,,,,
229,콩나물,누룽지,,,,,,,,,,
230,얼음식혜,,,,,,,,,,,
231,콩나물,도토리묵,,,,,,,,,,
232,대파,,,,,,,,,,,
233,도토리묵,,,,,,,,,,,
234,도토리묵,,,,,,,,,,,
235,콩국물,,,,,,,,,,,
236,당근,,,,,,,,,,,
237,누룽지,,,,,,,,,,,
238,콩나물,,,,,,,,,,,
239,검은콩두유,,,,,,,,,,,
240,검은콩두유,,,,,,,,,,,
241,동물복지유정란,사과당근즙,,,,,,,,,,
242,동물복지유정란,누룽지,,,,,,,,,,
243,유정란/친환경,,,,,,,,,,,
244,사과당근즙,,,,,,,,,,,
245,두부,,,,,,,,,,,
246,동물복지유정란,앞다리불고기-성남용인,사과당근즙,,,,,,,,,
247,앞다리불고기-성남용인,가지,,,,,,,,,,
248,콩나물,,,,,,,,,,,
249,두부,명태참어묵,,,,,,,,,,
250,당근,,,,,,,,,,,
251,동물복지유정란,,,,,,,,,,,
252,콩나물,명태참어묵,얼음식혜,,,,,,,,,
253,당근,,,,,,,,,,,
254,동물복지유정란,,,,,,,,,,,
255,콩나물,,,,,,,,,,,
256,느타리버섯,,,,,,,,,,,
257,명태참어묵,,,,,,,,,,,
258,동물복지유정란,콩나물,,,,,,,,,,
259,명태참어묵,,,,,,,,,,,
260,두부,사골곰국,,,,,,,,,,
261,동물복지유정란,시금치,찌개용두부,,,,,,,,,
262,두부,대파,,,,,,,,,,
263,동물복지유정란,앞다리불고기-성남용인,,,,,,,,,,
264,두부,동물복지유정란,백미/유,대파,,,,,,,,
265,두부,두부,유정란/친환경,유정란/친환경,동물복지유정란,백미/유,대파,대파,,,,
266,유정란/친환경,,,,,,,,,,,
267,유정란/친환경,상추,유기농성이시돌목장우유,,,,,,,,,
268,두부,콩나물,앞다리불고기-성남용인,,,,,,,,,
269,오이,콩나물,,,,,,,,,,
270,두부,동물복지유정란,중파,,,,,,,,,
271,두부,유정란/친환경,단무지,,,,,,,,,
272,유정란/친환경,중파,,,,,,,,,,
273,콩국물,두부,오이,,,,,,,,,
274,유정란/친환경,오이,쌈채소모음,,,,,,,,,
275,콩국물,두부,유기농저지방우유,,,,,,,,,
276,두부,동물복지유정란,,,,,,,,,,
277,동물복지유정란,,,,,,,,,,,
278,콩나물,당근,,,,,,,,,,
279,유정란/친환경,콩나물,,,,,,,,,,
280,두부,유정란/친환경,유정란/친환경,백미/유,쌈채소모음,,,,,,,
281,애호박,브로컬리,사과당근즙,,,,,,,,,
282,두부,동물복지유정란,양배추,,,,,,,,,
283,유정란/친환경,도토리묵,,,,,,,,,,
284,동물복지유정란,,,,,,,,,,,
285,두부,콩나물,,,,,,,,,,
286,두부,방울토마토/대추형,애호박,,,,,,,,,
287,두부,,,,,,,,,,,
288,두부,오이,,,,,,,,,,
289,대파,,,,,,,,,,,
290,당근,,,,,,,,,,,
291,얼음식혜,,,,,,,,,,,
292,두부,,,,,,,,,,,
293,두부,,,,,,,,,,,
294,당근,찌개용두부,,,,,,,,,,
295,양파,,,,,,,,,,,
296,브로컬리,상큼한감귤&한라봉,,,,,,,,,,
297,딸기잼,,,,,,,,,,,
298,브로컬리,,,,,,,,,,,
299,상추,어린잎채소,,,,,,,,,,
300,어린잎채소,브로컬리,상큼한감귤&한라봉,,,,,,,,,
301,양파,,,,,,,,,,,
302,오이,브로컬리,찌개용두부,상큼한감귤&한라봉,,,,,,,,
303,찌개용두부,,,,,,,,,,,
304,유정란/친환경,,,,,,,,,,,
305,오이,찌개용두부,,,,,,,,,,
306,두부,백미/유,,,,,,,,,,
307,검은콩두유,,,,,,,,,,,
308,방울토마토/대추형,완숙토마토,,,,,,,,,,
309,당근,,,,,,,,,,,
310,얼음식혜,,,,,,,,,,,
311,방울토마토/대추형,상추,시금치,검은콩두유,,,,,,,,
312,방울토마토/대추형,얼음식혜,검은콩두유,,,,,,,,,
313,당근,양배추,,,,,,,,,,
314,두부,,,,,,,,,,,
315,상추,,,,,,,,,,,
316,유정란/친환경,깐마늘/난지형/유,중파,,,,,,,,,
317,양배추,,,,,,,,,,,
318,검은콩두유,,,,,,,,,,,
319,콩국물,,,,,,,,,,,
320,양파,방울토마토/대추형,,,,,,,,,,
321,찌개용두부,,,,,,,,,,,
322,콩나물,검은콩두유,,,,,,,,,,
323,당근,,,,,,,,,,,
324,애호박,,,,,,,,,,,
325,찌개용두부,,,,,,,,,,,
326,떡국떡,,,,,,,,,,,
327,백미/유,,,,,,,,,,,
328,양파,,,,,,,,,,,
329,백미/유,얼음식혜,양배추,,,,,,,,,
330,단무지,구운김밥김,,,,,,,,,,
331,떡국떡,,,,,,,,,,,
332,깻잎,,,,,,,,,,,
333,찌개용두부,,,,,,,,,,,
334,유정란/친환경,,,,,,,,,,,
335,떡국떡,검은콩두유,,,,,,,,,,
336,오이,브로컬리,,,,,,,,,,
337,양파,중파,,,,,,,,,,
338,검은콩두유,구운김밥김,,,,,,,,,,
339,무쌈,,,,,,,,,,,
340,두부,콩나물,상추,중파,,,,,,,,
341,양파,콩나물,,,,,,,,,,
342,두부,콩나물,,,,,,,,,,
343,찌개용두부,,,,,,,,,,,
344,유정란/친환경,상추,쌈채소모음,,,,,,,,,
345,유정란/친환경,,,,,,,,,,,
346,유정란/친환경,대파,,,,,,,,,,
347,유정란/친환경,찌개용두부,,,,,,,,,,
348,찌개용두부,,,,,,,,,,,
349,찌개용두부,,,,,,,,,,,
350,현미유,,,,,,,,,,,
351,방울토마토/대추형,,,,,,,,,,,
352,얼음식혜,,,,,,,,,,,
353,유정란/친환경,찌개용두부,,,,,,,,,,
354,유정란/친환경,,,,,,,,,,,
355,유정란/친환경,,,,,,,,,,,
356,떡국떡,두부,,,,,,,,,,
357,깻잎,,,,,,,,,,,
358,두부,딸기잼,유기농우유,쌈채소모음,도토리묵,,,,,,,
359,상큼한감귤&한라봉,,,,,,,,,,,
360,얼음식혜,상큼한감귤&한라봉,,,,,,,,,,
361,상큼한감귤&한라봉,,,,,,,,,,,
362,가지,,,,,,,,,,,
363,검은콩두유,,,,,,,,,,,
364,검은콩두유,,,,,,,,,,,
365,유정란/친환경,팽이버섯,무쌈,,,,,,,,,
366,유정란/친환경,,,,,,,,,,,
367,백미/유,,,,,,,,,,,
368,콩나물,,,,,,,,,,,
369,백미/유,,,,,,,,,,,
370,유정란/친환경,완숙토마토,백미/유,,,,,,,,,
371,유정란/친환경,,,,,,,,,,,
372,떡국떡,유정란/친환경,,,,,,,,,,
373,연두부,백미/유,찌개용두부,,,,,,,,,
374,유정란/친환경,,,,,,,,,,,
375,양파,명태참어묵,,,,,,,,,,
376,누룽지,,,,,,,,,,,
377,동물복지유정란,사과/,단무지,,,,,,,,,
378,두부,,,,,,,,,,,
379,두부,,,,,,,,,,,
380,양파,,,,,,,,,,,
381,대파,팽이버섯,,,,,,,,,,
382,두부,콩나물,시금치,,,,,,,,,
383,양파,콩나물,당근,명태참어묵,양배추,,,,,,,
384,유정란/친환경,,,,,,,,,,,
385,명태참어묵,,,,,,,,,,,
386,콩나물,어린잎채소,브로컬리,당근,대파,,,,,,,
387,유정란/친환경,콩나물,,,,,,,,,,
388,상추,명태참어묵,,,,,,,,,,
389,유정란/친환경,사골곰국,명태참어묵,,,,,,,,,
390,두부,양파,콩나물,상추,,,,,,,,
391,사과/,완숙토마토,,,,,,,,,,
392,콩나물,어린잎채소,,,,,,,,,,
393,사골곰국,,,,,,,,,,,
394,두부,,,,,,,,,,,
395,양파,앞다리불고기-성남용인,명태참어묵,,,,,,,,,
396,유정란/친환경,,,,,,,,,,,
397,두부,어린잎채소,당근,중파,,,,,,,,
398,브로컬리,,,,,,,,,,,
399,완숙토마토,,,,,,,,,,,
400,콩나물,,,,,,,,,,,
401,동물복지유정란,콩나물,애호박,가지,깻잎,,,,,,,
402,방울토마토/대추형,검은콩두유,,,,,,,,,,
403,동물복지유정란,상추,,,,,,,,,,
404,양파,,,,,,,,,,,
405,양파,애호박,가지,,,,,,,,,
406,유정란/친환경,,,,,,,,,,,
407,팽이버섯,느타리버섯,,,,,,,,,,
408,명태참어묵,,,,,,,,,,,
409,어린잎채소,명태참어묵,중파,,,,,,,,,
410,두부,상추,,,,,,,,,,
411,양배추,,,,,,,,,,,
412,사골곰국,명태참어묵,팽이버섯,,,,,,,,,
413,유정란/친환경,,,,,,,,,,,
414,콩나물,당근,양배추,,,,,,,,,
