,0,1,2,3,4,5,6,7,8,9,10,11,12
281,콩나물,,,,,,,,,,,,
282,콩나물,찌개용두부,,,,,,,,,,,
283,하늘바다새우,밥풀과자,,,,,,,,,,,
284,연두부,,,,,,,,,,,,
285,찌개용두부,,,,,,,,,,,,
286,가지,,,,,,,,,,,,
287,찌개용두부,단무지,상큼한포도,,,,,,,,,,
288,콩나물,,,,,,,,,,,,
289,유정란/친환경,,,,,,,,,,,,
290,당근,,,,,,,,,,,,
291,유정란/친환경,,,,,,,,,,,,
292,두부,,,,,,,,,,,,
293,두부,,,,,,,,,,,,
294,두부,,,,,,,,,,,,
295,두부,,,,,,,,,,,,
296,두부,,,,,,,,,,,,
297,두부,,,,,,,,,,,,
298,두부,,,,,,,,,,,,
299,두부,,,,,,,,,,,,
300,두부,,,,,,,,,,,,
301,두부,,,,,,,,,,,,
302,두부,중파,,,,,,,,,,,
303,두부,중파,,,,,,,,,,,
304,두부,,,,,,,,,,,,
305,두부,,,,,,,,,,,,
306,카스텔라,,,,,,,,,,,,
307,유기농성이시돌목장우유,,,,,,,,,,,,
308,브로컬리,팽이버섯,,,,,,,,,,,
309,연두부,카스텔라,,,,,,,,,,,
310,유기농성이시돌목장우유,사과당근즙,,,,,,,,,,,
311,연두부,검은콩두유,쥬키니호박,,,,,,,,,,
312,양파,유기농성이시돌목장우유,,,,,,,,,,,
313,두부,쥬키니호박,,,,,,,,,,,
314,연두부,무,당근,,,,,,,,,,
315,상큼한감귤&채소,,,,,,,,,,,,
316,오이,카스텔라,,,,,,,,,,,
317,두부,애호박,가지,유기농성이시돌목장우유,양배추,,,,,,,,
318,양파,무,,,,,,,,,,,
319,가지,,,,,,,,,,,,
320,유기농성이시돌목장우유,,,,,,,,,,,,
321,유기농성이시돌목장우유,,,,,,,,,,,,
322,카스텔라,유기농성이시돌목장우유,,,,,,,,,,,
323,두부,우유,,,,,,,,,,,
324,중파,,,,,,,,,,,,
325,두부,,,,,,,,,,,,
326,두부,,,,,,,,,,,,
327,7곡딸기롤과자,,,,,,,,,,,,
328,두부,콩나물,,,,,,,,,,,
329,애호박,,,,,,,,,,,,
330,양파,,,,,,,,,,,,
331,얼음식혜,,,,,,,,,,,,
332,유기농우유,,,,,,,,,,,,
333,두부,,,,,,,,,,,,
334,두부,,,,,,,,,,,,
335,유정란/친환경,양파,,,,,,,,,,,
336,두부,찌개용두부,유기농성이시돌목장우유,,,,,,,,,,
337,방울토마토/대추형,,,,,,,,,,,,
338,동물복지유정란,,,,,,,,,,,,
339,유정란/친환경,,,,,,,,,,,,
340,유정란/친환경,,,,,,,,,,,,
341,7곡딸기롤과자,유기농성이시돌목장우유,,,,,,,,,,,
342,단무지,,,,,,,,,,,,
343,딸기잼,,,,,,,,,,,,
344,유정란/친환경,우유,,,,,,,,,,,
345,두부,동물복지유정란,,,,,,,,,,,
346,두부,단무지,닭가슴살,,,,,,,,,,
347,단무지,,,,,,,,,,,,
