,회원번호,주문일시,전체물품명
198,42955264,2021-08-25,애호박$찌개용두부
199,42955264,2021-09-16,콩나물$백미/유$누룽지
200,42955264,2021-10-06,양파
201,42955264,2021-10-19,백미/유
202,44076288,2021-01-31,닭가슴살
203,44076288,2021-04-30,닭가슴살
204,44076288,2021-07-06,닭가슴살
205,44076288,2021-07-15,닭가슴살
206,44076288,2021-08-10,동물복지유정란
207,44076288,2021-08-19,유정란/친환경
208,44076288,2021-08-29,동물복지유정란$닭가슴살
209,45022848,2021-06-05,두부$찌개용두부
210,45022848,2021-08-10,찌개용두부
211,45022848,2021-09-12,오분도미/유$찹쌀백미/유
212,45520256,2021-01-18,두부
213,45520256,2021-04-24,떡국떡
214,45520256,2021-06-05,유정란/친환경
215,45520256,2021-09-11,두부$동물복지유정란
216,45520256,2021-10-01,콩나물$상추
217,45520256,2021-10-10,유정란/친환경
218,46752640,2021-01-28,유정란/친환경$찌개용두부
219,47663936,2021-04-07,감자라면
220,48638336,2021-01-03,두부$유정란/친환경$시금치
221,48638336,2021-01-05,양파
222,48638336,2021-01-08,유정란/친환경
223,48638336,2021-01-10,두부$월동무
224,48638336,2021-01-12,당근$느타리버섯
225,48638336,2021-01-15,두부$백미/유
226,48638336,2021-01-17,대파$감자라면
227,48638336,2021-01-20,두부
228,48638336,2021-01-22,사과/$시금치$월동무
229,48638336,2021-01-27,두부$상추$어린잎채소$깐마늘/난지형/유$대파$느타리버섯
230,48638336,2021-02-02,사과/$브로컬리$당근$깻잎
231,48638336,2021-02-03,백미/유
232,48638336,2021-02-07,닭가슴살
233,48638336,2021-02-09,대파$양배추
234,48638336,2021-02-10,참기름$황토숙주나물$당면
235,48638336,2021-02-13,유정란/친환경$양파$사과/$시금치$브로컬리$당근$황토숙주나물$양송이버섯
236,48638336,2021-02-14,유정란/친환경$대파$유기농우유$쌈채소모음
237,48638336,2021-02-15,양파
238,48638336,2021-02-24,시금치
239,48638336,2021-02-25,양파$콩나물$백미/유
240,48638336,2021-02-26,연두부$유기농우유$얼갈이
241,48638336,2021-02-28,찌개용두부
242,48638336,2021-03-01,대파$도토리묵
243,48638336,2021-03-05,월동무
244,48638336,2021-03-07,양파$사과/$깐마늘/난지형/유$월동무
245,48638336,2021-03-12,감자라면
246,48638336,2021-03-23,유정란/친환경$양배추
247,48638336,2021-03-26,두부$콩나물
248,48638336,2021-03-29,백미/유$깻잎
249,48638336,2021-03-30,부추
250,48638336,2021-03-31,두부$오이$콩나물
251,48638336,2021-04-01,대파
252,48638336,2021-04-02,양파$시금치$당근$깻잎$느타리버섯
253,48638336,2021-04-07,두부$유정란/친환경$당근
254,48638336,2021-04-09,시금치
255,48638336,2021-04-11,콩나물$쌈채소모음$감자라면
256,48638336,2021-04-12,양파
257,48638336,2021-04-13,콩나물$대파$부추
258,48638336,2021-04-14,양파$오이$애호박$유기농저지방우유
259,48638336,2021-04-16,유정란/친환경
