,0,1,2,3,4,5,6,7,8,9,10,11,12,13
268,콩나물,사과/,애호박,깐마늘/난지형/유,월동무,유기농우유,중파,,,,,,,
269,두부,유정란/친환경,양파,백미/유,유기농우유,느타리버섯,,,,,,,,
270,유정란/친환경,부추,도토리묵,,,,,,,,,,,
271,두부,양파,시금치,,,,,,,,,,,
272,오이,애호박,백미/유,,,,,,,,,,,
273,유정란/친환경,사과/,애호박,가지,,,,,,,,,,
274,콩나물,,,,,,,,,,,,,
275,양파,,,,,,,,,,,,,
276,애호박,쌈채소모음,,,,,,,,,,,,
277,오이,백미/유,,,,,,,,,,,,
278,양배추,,,,,,,,,,,,,
279,오이,애호박,닭가슴살,,,,,,,,,,,
280,당근,,,,,,,,,,,,,
281,중파,,,,,,,,,,,,,
282,유정란/친환경,얼갈이,,,,,,,,,,,,
283,양파,,,,,,,,,,,,,
284,팽이버섯,,,,,,,,,,,,,
285,연두부,,,,,,,,,,,,,
286,오이,,,,,,,,,,,,,
287,두부,,,,,,,,,,,,,
288,얼갈이,깻잎,,,,,,,,,,,,
289,유기농우유,,,,,,,,,,,,,
290,무,유기농우유,중파,,,,,,,,,,,
291,느타리버섯,,,,,,,,,,,,,
292,당근,유기농우유,,,,,,,,,,,,
293,콩나물,,,,,,,,,,,,,
294,감자라면,,,,,,,,,,,,,
295,유정란/친환경,가지,,,,,,,,,,,,
296,백미/유,유기농우유,,,,,,,,,,,,
297,양배추,,,,,,,,,,,,,
298,콩나물,중파,,,,,,,,,,,,
299,가지,,,,,,,,,,,,,
300,가지,,,,,,,,,,,,,
301,무,당근,,,,,,,,,,,,
302,얼갈이,가지,,,,,,,,,,,,
303,닭가슴살,,,,,,,,,,,,,
304,유기농우유,중파,,,,,,,,,,,,
305,오이,,,,,,,,,,,,,
306,방울토마토/대추형,,,,,,,,,,,,,
307,유정란/친환경,무,중파,,,,,,,,,,,
308,콩나물,,,,,,,,,,,,,
309,방울토마토/대추형,애호박,중파,,,,,,,,,,,
310,깻잎,,,,,,,,,,,,,
311,콩국물,중파,,,,,,,,,,,,
312,구운도시락김,,,,,,,,,,,,,
313,방울토마토/대추형,부추,,,,,,,,,,,,
314,도토리묵,,,,,,,,,,,,,
315,중파,,,,,,,,,,,,,
316,중파,,,,,,,,,,,,,
317,두부,유기농우유,부추,,,,,,,,,,,
318,당근,,,,,,,,,,,,,
